k,method,mean_quality,diversity_spread,coverage_radius,expert_fraction
8,random,0.6776489136141324,0.8613684249845056,0.2654270035642537,0.75
8,quality_only,1.0,0.06423402280402273,0.8346298558081173,1.0
8,diversity_only,0.34720712073971516,1.083970704075337,0.23645890218101542,0.25
8,dpp,0.892094508022899,0.8731411458905468,0.19224205332185984,1.0
16,random,0.6525852427856725,0.8960277348902419,0.15773032312588006,0.721875
16,quality_only,0.9830030910072926,0.5432033396161465,0.18745931987217265,1.0
16,diversity_only,0.285828946632368,1.039686793906811,0.1404761237665743,0.1875
16,dpp,0.8982184623099359,0.8335255495252462,0.17370498368761686,1.0
30,random,0.636880677062165,0.8938069628218305,0.11330154135375659,0.7066666666666668
30,quality_only,0.9611548154031637,0.8126932714805761,0.16080922488179156,1.0
30,diversity_only,0.2139193787417686,1.0260853965785357,0.10221445172357042,0.1
30,dpp,0.9011420597060315,0.8294629421804447,0.15728817751673305,1.0
50,random,0.651425459252488,0.9087295004217596,0.08853475112930306,0.722
50,quality_only,0.9428418155857246,0.8439665288890051,0.14803191580394023,1.0
50,diversity_only,0.1884611464294094,1.0109794085454045,0.0536022200510569,0.08
50,dpp,0.8931744651670773,0.816754083901244,0.14490837746570942,1.0
